time,agentID,x,y,z,action
2147,1,2.95,0.105,7.1,walk
2148,1,2.95,0.105,7.1,walk
2151,1,2.95,0.105,7.1,walk
2154,1,2.95,0.105,7.1,walk
2157,1,2.95,0.105,7.1,walk
2160,1,2.95,0.105,7.1,walk
2163,1,2.95,0.105,7.1,walk
2166,1,2.95,0.105,7.1,walk
2169,1,2.95,0.105,7.1,walk
2172,1,2.95,0.105,7.1,walk
2175,1,2.95,0.105,7.1,walk
2178,1,2.95,0.105,7.1,walk
2181,1,2.95,0.105,7.1,walk
2184,1,2.95,0.105,7.1,walk
2187,1,2.95,0.105,7.1,walk
2190,1,2.95,0.105,7.1,walk
2193,1,2.95,0.105,7.1,walk
2196,1,2.95,0.105,7.1,walk
2199,1,2.95,0.105,7.1,walk
2202,1,2.95,0.105,7.1,walk
2205,1,2.95,0.105,7.1,walk
2208,1,2.95,0.105,7.1,walk
2211,1,2.95,0.105,7.1,walk
2214,1,2.95,0.105,7.1,walk
2217,1,2.95,0.105,7.1,walk
2220,1,2.95,0.105,7.1,walk
2223,1,2.95,0.105,7.1,walk
2226,1,2.95,0.105,7.1,walk
2229,1,2.95,0.105,7.1,walk
2232,1,2.95,0.105,7.1,walk
2235,1,2.95,0.105,7.1,walk
2238,1,2.95,0.105,7.1,walk
2241,1,2.95,0.105,7.1,walk
2244,1,2.95,0.105,7.1,walk
2247,1,2.95,0.105,7.1,walk
2250,1,2.95,0.105,7.1,walk
2253,1,2.95,0.105,7.1,walk
2256,1,2.95,0.105,7.1,walk
2259,1,2.95,0.105,7.1,walk
2262,1,2.95,0.105,7.1,walk
2265,1,2.95,0.105,7.1,walk
2268,1,2.95,0.105,7.1,walk
2271,1,2.95,0.105,7.1,walk
2274,1,2.95,0.105,7.1,walk
2277,1,2.95,0.105,7.1,walk
2280,1,2.95,0.105,7.1,walk
2283,1,2.95,0.105,7.1,walk
2286,1,2.95,0.105,7.1,walk
2289,1,2.95,0.105,7.1,walk
2292,1,2.95,0.105,7.1,walk
2295,1,2.95,0.105,7.1,walk
2298,1,2.95,0.105,7.1,walk
2301,1,2.95,0.105,7.1,walk
2304,1,2.95,0.105,7.1,walk
2307,1,2.95,0.105,7.1,walk
2310,1,2.95,0.105,7.1,walk
2313,1,2.95,0.105,7.1,walk
2316,1,2.95,0.105,7.1,walk
2319,1,2.95,0.105,7.1,walk
2322,1,2.95,0.105,7.1,walk
2325,1,2.95,0.105,7.1,walk
2328,1,2.95,0.105,7.1,walk
2331,1,2.95,0.105,7.1,walk
2334,1,2.95,0.105,7.1,walk
2337,1,2.95,0.105,7.1,walk
2340,1,2.95,0.105,7.1,walk
2343,1,2.95,0.105,7.1,walk
2346,1,2.95,0.105,7.1,walk
2349,1,2.133333,0.105,6.933333,walk
2352,1,0.5,0.105,6.6,walk
2355,1,0.5,0.105,6.6,walk
2357,1,0.5,0.105,6.6,walk
2358,1,0.9,0.105,7.32,walk
2361,1,2.1,0.105,9.48,walk
2364,1,0.5,0.105,9.4,walk
2367,1,0.5,0.105,9.4,walk
2370,1,1.316667,0.105,7.966667,walk
2373,1,2.95,0.105,7.1,walk
2376,1,2.95,0.105,7.1,walk
2379,1,2.875,0.105,7.616667,walk
2382,1,2.7625,0.105,8.391667,walk
2391,1,2.725,0.105,8.65,walk
2394,1,2.95,0.105,7.1,walk
2397,1,2.95,0.105,7.1,walk
2400,1,2.95,0.105,7.1,walk
2403,1,2.95,0.105,7.1,walk
2406,1,2.95,0.105,7.1,walk
2409,1,2.95,0.105,7.1,walk
2412,1,2.95,0.105,7.1,walk
2415,1,2.95,0.105,7.1,walk
2418,1,2.95,0.105,7.1,walk
2421,1,2.95,0.105,7.1,walk
2424,1,2.95,0.105,7.1,walk
2427,1,2.51,0.105,8.34,walk
2430,1,1.85,0.105,10.2,walk
2433,1,2.4,0.105,8.65,walk
2436,1,2.95,0.105,7.1,walk
2439,1,2.95,0.105,7.1,walk
2442,1,2.95,0.105,7.1,walk
2445,1,2.95,0.105,7.1,walk
2448,1,2.95,0.105,7.1,walk
2449,1,2.95,0.105,7.1,walk
2450,1,2.95,0.105,7.1,walk
2451,1,2.95,0.105,7.1,walk
2454,1,2.95,0.105,7.1,walk
